"field","field","field","field"
"1","Gen","1","1"
"2","Ge","1","0"
"3","Gn","1","0"
"4","Exo","2","1"
"5","Ex","2","0"
"6","Exod","2","0"
"7","Lev","3","1"
"8","Le","3","0"
"9","Lv","3","0"
"10","Num","4","1"
"11","Nu","4","0"
"12","Nm","4","0"
"13","Nb","4","0"
"14","Deut","5","1"
"15","Dt","5","0"
"16","Josh","6","1"
"17","Jos","6","0"
"18","Jsh","6","0"
"19","Judg","7","1"
"20","Jdg","7","0"
"21","Jg","7","0"
"22","Jdgs","7","0"
"23","Rth","8","1"
"24","Ru","8","0"
"25","1 Sam","9","1"
"26","1 Sa","9","0"
"27","1Samuel","9","0"
"28","1S","9","0"
"29","I Sa","9","0"
"30","1 Sm","9","0"
"31","1Sa","9","0"
"32","I Sam","9","0"
"33","1Sam","9","0"
"34","I Samuel","9","0"
"35","1st Samuel","9","0"
"36","First Samuel","9","0"
"37","2 Sam","10","1"
"38","2 Sa","10","0"
"39","2S","10","0"
"40","II Sa","10","0"
"41","2 Sm","10","0"
"42","2Sa","10","0"
"43","II Sam","10","0"
"44","2Sam","10","0"
"45","II Samuel","10","0"
"46","2Samuel","10","0"
"47","2nd Samuel","10","0"
"48","Second Samuel","10","0"
"49","1 Kgs","11","1"
"50","1 Ki","11","0"
"51","1K","11","0"
"52","I Kgs","11","0"
"53","1Kgs","11","0"
"54","I Ki","11","0"
"55","1Ki","11","0"
"56","I Kings","11","0"
"57","1Kings","11","0"
"58","1st Kgs","11","0"
"59","1st Kings","11","0"
"60","First Kings","11","0"
"61","First Kgs","11","0"
"62","1Kin","11","0"
"63","2 Kgs","12","1"
"64","2 Ki","12","0"
"65","2K","12","0"
"66","II Kgs","12","0"
"67","2Kgs","12","0"
"68","II Ki","12","0"
"69","2Ki","12","0"
"70","II Kings","12","0"
"71","2Kings","12","0"
"72","2nd Kgs","12","0"
"73","2nd Kings","12","0"
"74","Second Kings","12","0"
"75","Second Kgs","12","0"
"76","2Kin","12","0"
"77","1 Chron","13","1"
"78","1 Ch","13","0"
"79","I Ch","13","0"
"80","1Ch","13","0"
"81","1 Chr","13","0"
"82","I Chr","13","0"
"83","1Chr","13","0"
"84","I Chron","13","0"
"85","1Chron","13","0"
"86","I Chronicles","13","0"
"87","1Chronicles","13","0"
"88","1st Chronicles","13","0"
"89","First Chronicles","13","0"
"90","2 Chron","14","1"
"91","2 Ch","14","0"
"92","II Ch","14","0"
"93","2Ch","14","0"
"94","II Chr","14","0"
"95","2Chr","14","0"
"96","II Chron","14","0"
"97","2Chron","14","0"
"98","II Chronicles","14","0"
"99","2Chronicles","14","0"
"100","2nd Chronicles","14","0"
"101","Second Chronicles","14","0"
"102","Ezra","15","1"
"103","Ezr","15","0"
"104","Neh","16","1"
"105","Ne","16","0"
"106","Esth","17","1"
"107","Es","17","0"
"108","Job","18","1"
"109","Job","18","0"
"110","Jb","18","0"
"111","Pslm","19","1"
"112","Ps","19","0"
"113","Psalms","19","0"
"114","Psa","19","0"
"115","Psm","19","0"
"116","Pss","19","0"
"117","Prov","20","1"
"118","Pr","20","0"
"119","Prv","20","0"
"120","Eccles","21","1"
"121","Ec","21","0"
"122","Qoh","21","0"
"123","Qoheleth","21","0"
"124","Song","22","1"
"125","So","22","0"
"126","Canticle of Canticles","22","0"
"127","Canticles","22","0"
"128","Song of Songs","22","0"
"129","SOS","22","0"
