Book,Chapter,Verse,Text
Genesis,1,1,Ի սկզբանէ Աստուած ստեղծեց երկինքն ու երկիրը:
Genesis,1,2,"Երկիրն անձեւ ու անկազմ էր, խաւար էր տիրում անհունի վրայ, եւ Աստծու հոգին շրջում էր ջրերի վրայ:"
Genesis,1,3,Եւ Աստուած ասաց. «Թող լոյս լինի»: Եւ լոյս եղաւ:
Genesis,1,4,"Աստուած տեսաւ, որ լոյսը լաւ է, եւ Աստուած լոյսը բաժանեց խաւարից:"
Genesis,1,5,"Աստուած լոյսը կոչեց ցերեկ, իսկ խաւարը կոչեց գիշեր: Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր առաջին:"
Genesis,1,6,"Աստուած ասաց. «Թող տարածութիւն առաջանայ ջրերի միջեւ, եւ ջրերը թող բաժանուեն ջրերից»: Եւ եղաւ այդպէս:"
Genesis,1,7,"Աստուած ստեղծեց տարածութիւնը, որով Աստուած տարածութեան ներքեւում եղած ջրերը անջրպետեց տարածութեան վրայ եղած ջրերից:"
Genesis,1,8,"Աստուած տարածութիւնը կոչեց երկինք: Աստուած տեսաւ, որ լաւ է: Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր երկրորդ:"
Genesis,1,9,"Աստուած ասաց. «Թող երկնքի տակ գտնուող ջրերը հաւաքուեն մի տեղ, եւ երեւայ ցամաքը»: Եւ եղաւ այդպէս. երկնքի տակի ջրերը հաւաքուեցին մի տեղ, ու երեւաց ցամաքը:"
Genesis,1,10,"Աստուած ցամաքը կոչեց երկիր, իսկ հաւաքուած ջրերը կոչեց ծով: Աստուած տեսաւ, որ լաւ է:"
Genesis,1,11,"Աստուած ասաց. «Թող երկիրը իր տեսակի ու իր նմանութեան սերմը պարունակող դալար բոյս եւ իր տեսակի ու իր նմանութեան սերմը պարունակող, իր տեսակի միրգ տուող պտղաբեր ծառ աճեցնի երկրի վրայ»: Եւ եղաւ այդպէս."
Genesis,1,12,"հողը ամբողջ երկրի վրայ ցանելու սերմը իր մէջ պարունակող դալար բոյս եւ իր տեսակի սերմը իր մէջ պարունակող, միրգ տուող ծառ աճեցրեց: Աստուած տեսաւ, որ լաւ է:"
Genesis,1,13,"Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր երրորդ:"
Genesis,1,14,"Աստուած ասաց. «Թող լուսատուներ լինեն երկնքի տարածութեան մէջ, որպէսզի լուսաւորեն երկիրը եւ իրարից բաժանեն ցերեկն ու գիշերը: Դրանք թող լինեն, որպէսզի ցոյց տան տարուայ եղանակները, տօնական օրերն ու տարիները,"
Genesis,1,15,"թող լինեն, ծագեն երկնքի տարածութեան մէջ՝ երկիրը լուսաւորելու համար»: Եւ եղաւ այդպէս:"
Genesis,1,16,"Աստուած ստեղծեց երկու մեծ լուսատուներ. մեծ լուսատուն՝ ցերեկն իշխելու, իսկ փոքր լուսատուն՝ գիշերն իշխելու համար, ինչպէս նաեւ աստղեր:"
Genesis,1,17,"Աստուած դրանք դրեց երկնքի տարածութեան մէջ՝ երկիրը լուսաւորելու համար,"
Genesis,1,18,"ինչպէս նաեւ ցերեկուայ ու գիշերուայ վրայ իշխելու եւ լոյսն ու խաւարը իրարից բաժանելու համար: Աստուած տեսաւ, որ լաւ է:"
Genesis,1,19,"Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր չորրորդ:"
Genesis,1,20,"Աստուած ասաց. «Թող ջրերն արտադրեն կենդանութեան շունչ ունեցող զեռուններ, եւ երկրի վրայ ու երկնքի տարածութեան մէջ թող թեւաւոր թռչուններ լինեն»: Եւ եղաւ այդպէս:"
Genesis,1,21,"Աստուած ստեղծեց խոշոր կէտեր, կենդանութեան շունչ ունեցող ամէն տեսակ զեռուններ, որ արտադրեցին ջրերն ըստ տեսակների, եւ ամէն տեսակ թեւաւոր թռչուններ՝ ըստ տեսակների: Աստուած տեսաւ, որ լաւ է:"
Genesis,1,22,"Աստուած օրհնեց դրանց ու ասաց. «Աճեցէ՛ք, բազմացէ՛ք եւ լցրէ՛ք ծովերի ջրերը, իսկ թռչունները թող բազմանան երկրի վրայ»:"
Genesis,1,23,"Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր հինգերորդ:"
Genesis,1,24,"Աստուած ասաց. «Թող երկիրն արտադրի չորքոտանի կենդանիներ իրենց տեսակներով, սողուններ եւ գազաններ իրենց տեսակներով»: Եւ եղաւ այդպէս:"
Genesis,1,25,"Աստուած ստեղծեց երկրի գազաններն իրենց տեսակներով, անասուններն իրենց տեսակներով եւ երկրի բոլոր սողուններն իրենց տեսակներով: Աստուած տեսաւ, որ դրանք լաւ են:"
