Book,Chapter,Verse,Text
Genesis,1,1,元始、上帝創造天地、
Genesis,1,2,地乃虛曠混沌、淵際晦冥、上帝之神煦育乎水面、
Genesis,1,3,上帝曰、宜有光、卽有光、
Genesis,1,4,上帝視光爲善、遂判光暗、
Genesis,1,5,謂光爲晝、謂暗爲夜、有夕有朝、是乃一日、○
Genesis,1,6,上帝曰、水中宜有穹蒼、使水判乎上下、
Genesis,1,7,遂作穹蒼、以分穹蒼上下之水、有如此也、
Genesis,1,8,上帝謂穹蒼爲天、有夕有朝、是乃二日、○
Genesis,1,9,上帝曰、天下諸水、宜匯一區、俾見大陸、有如此也、
Genesis,1,10,謂大陸爲地、謂匯水爲海、上帝視之爲善、
Genesis,1,11,上帝曰、地宜生草、及結實之蔬、結果之樹、果懷其核、各從其類、有如此也、
Genesis,1,12,地遂生草、及結實之蔬、結果之樹、果懷其核、各從其類、上帝視之爲善、
Genesis,1,13,有夕有朝、是乃三日、○
Genesis,1,14,上帝曰、穹蒼宜有輝光、以分晝夜、以爲兆象、以定四時年日、
Genesis,1,15,光麗於天、照臨於地、有如此也、
Genesis,1,16,上帝造二巨光、大者司晝、小者司夜、亦造星辰、
Genesis,1,17,置之穹蒼、照臨於地、
Genesis,1,18,以司晝夜、以分明晦、上帝視之爲善、
Genesis,1,19,有夕有朝、是乃四日、○
Genesis,1,20,上帝曰、水宜滋生生物、鳥飛地上、戾乎穹蒼、
Genesis,1,21,遂造巨魚、曁水中所滋生之動物、各從其類、又造羽族、各從其類、上帝視之爲善、
Genesis,1,22,祝之曰、生育衆多、鱗介充牣於海、禽鳥繁衍於地、
Genesis,1,23,有夕有朝、是乃五日、○
Genesis,1,24,上帝曰、地宜產生生物、各從其類、牲畜昆蟲走獸、各從其類、有如此也、
Genesis,1,25,遂造走獸牲畜、地上昆蟲、皆各從其類、上帝視之爲善、
Genesis,1,26,上帝曰、宜造人、其形其象肖我儕、以治海魚飛鳥牲畜、及動於地上之昆蟲、並治全地、
Genesis,1,27,遂造人、維肖乎己、象上帝形、造男亦造女、
Genesis,1,28,上帝祝之曰、生育衆多、遍滿於地、而治理之、以統轄海魚飛鳥、與地上動物、
Genesis,1,29,又曰、遍地結實之菜蔬、懷核之樹果、我予汝以爲食、
Genesis,1,30,至地上走獸、空中飛鳥、曁動於地上之生物、我賜之青草以爲食、有如此也、
Genesis,1,31,上帝視凡所造者盡善、有夕有朝、是乃六日、
Genesis,2,1,天地萬物旣成、
Genesis,2,2,七日上帝造物工竣、乃憩息、
Genesis,2,3,蓋是日上帝畢其工而安息、遂錫嘏此日、別之爲聖、○
Genesis,2,4,耶和華上帝創造天地之日、其畧如左、
Genesis,2,5,爾時野無草木、田間蔬菜未生、蓋耶和華上帝未降雨於地、亦無人耕之、
Genesis,2,6,惟霧由地上騰、普潤土壤、
Genesis,2,7,耶和華上帝摶土爲人、噓生氣於其鼻、乃成生靈、
Genesis,2,8,耶和華上帝植囿於東方之伊甸、置所造之人於其間、
Genesis,2,9,耶和華上帝使地生諸樹、觀可娛目、食可適口、當囿之中、有生命之樹、及別善惡之樹、
Genesis,2,10,有河流自伊甸、灌漑其囿、中分四支、
Genesis,2,11,一曰比遜、瀠洄於哈腓拉、其地產金、
Genesis,2,12,厥金精良、亦產珍珠碧玉、
Genesis,2,13,二曰基訓、環流於古實、
Genesis,2,14,三曰希底結、流於亞述東、四曰伯拉、
Genesis,2,15,耶和華上帝挈其人置伊甸囿、使之治理監守、
Genesis,2,16,命之曰、囿中樹果、任意可食、
Genesis,2,17,惟別善惡之樹、其果不可食、食之日必死、○
Genesis,2,18,耶和華上帝曰、人獨處非善、我將作一相助者以配之、
Genesis,2,19,耶和華上帝以土造野間走獸、空中飛鳥、攜至其人前、視其稱以何名、其所以稱各生物者、卽其物之名也、
Genesis,2,20,其人於牲畜飛鳥走獸、各命以名、惟己無相助者配之、
Genesis,2,21,耶和華上帝乃令其人酣睡、取其脇骨之一、彌縫其肉、
Genesis,2,22,以所取之脇骨造女、攜至其前、
Genesis,2,23,其人曰、是乃我骨中之骨、肉中之肉、可稱爲女、因自男出也、
Genesis,2,24,是以人將離父母、膠漆其妻、成爲一體、
Genesis,2,25,夫婦並裸、亦無愧焉、
Genesis,3,1,耶和華上帝所造之百獸、惟蛇最狡、蛇謂婦曰、囿中諸樹、上帝豈語汝勿食乎、
Genesis,3,2,婦曰、囿樹之實、我儕可食、
Genesis,3,3,惟囿之中一樹、上帝戒之、毋食毋捫、恐致死亡、
Genesis,3,4,蛇曰、爾未必死、
Genesis,3,5,蓋上帝知爾食之日、爾目必明、將如上帝、能辨善惡、
Genesis,3,6,婦視其樹、食可適口、觀可娛目、且可愛慕、益人智慧、遂取果食之、並以遺夫、夫亦食之、
Genesis,3,7,二人之目卽明、自知裸體、遂編無花果葉爲裳、
Genesis,3,8,晚涼時、耶和華上帝遊於囿、其人與婦聞其聲、匿囿樹間以避之、
Genesis,3,9,耶和華上帝呼其人曰、汝何在、
Genesis,3,10,曰、我聞爾聲於囿、以我裸故、畏而自匿、
Genesis,3,11,曰、孰語爾裸乎、我戒爾勿食之樹果、爾食之乎、
Genesis,3,12,曰、爾所賜偕我之婦、以樹果予我、而我食之、
Genesis,3,13,耶和華上帝謂婦曰、爾何爲耶、婦曰、蛇誘我、我遂食之、
Genesis,3,14,耶和華上帝謂蛇曰、爾旣爲此、較之六畜百獸、必更見詛、且以腹行、畢生食塵、
Genesis,3,15,我以仇隙置爾與婦之間、爰及苗裔、彼將傷爾首、爾將傷其踵、
Genesis,3,16,謂婦曰、我必增爾懷姙之苦、產育劬勞、爾必戀夫、夫必轄爾、
Genesis,3,17,謂亞當曰、爾旣聽婦言、食我所禁之果、土必緣爾見詛、爾畢生勤勞、食其所產、
Genesis,3,18,土將爲爾叢生荊棘蒺藜、汝所食者、田間之蔬、
Genesis,3,19,必汗流浹面、始可得食、迨爾歸土、蓋爾由土出、汝本爲土、終則歸之、
Genesis,3,20,其人名婦曰夏娃、以其爲羣生之母也、
Genesis,3,21,耶和華上帝爲亞當及婦、作皮衣衣之、○
Genesis,3,22,耶和華上帝曰、斯人能別善惡、彷彿我儕、恐其舉手、亦取生命樹果、食之而永生、
Genesis,3,23,遂遣其人出伊甸囿、以耕所自出之土、
Genesis,3,24,旣逐之出、又於伊甸囿東、置基路伯、與旋轉之焰劍、以防守生命樹之途、
Genesis,4,1,亞當與婦夏娃同室、懷姙生該隱、曰、耶和華使我得男、
Genesis,4,2,又生其弟亞伯、亞伯爲牧、該隱爲農、
Genesis,4,3,厥後、該隱以土所產奉耶和華、
Genesis,4,4,亞伯亦奉以首生之羊與脂、耶和華眷顧亞伯、與其祭品、
Genesis,4,5,而不眷顧該隱、與其祭品、該隱盛怒變色、
Genesis,4,6,耶和華曰、爾怒奚爲、變色曷故、
Genesis,4,7,苟爾行善、豈不懽顏、苟行不善、孽伏於門、彼必戀爾、爾其制之、
Genesis,4,8,該隱以告弟亞伯、在於田間、攻而殺之、○
Genesis,4,9,耶和華謂該隱曰、爾弟亞伯安在、曰、不知、我豈防守我弟者乎、
Genesis,4,10,曰、爾何爲耶、汝弟之血有聲、自地籲我、
Genesis,4,11,今地啟口、由於爾手、以受汝弟之血、爾必由地見詛、
Genesis,4,12,汝耕田、地不復効力、爾必流離於地、
Genesis,4,13,該隱謂耶和華曰、我刑之重、實所不堪、
Genesis,4,14,爾今逐我、俾離斯土、不復覿爾面、流離於地、遇我者必殺我、
Genesis,4,15,耶和華曰、凡殺該隱者、受罰七倍、乃賜以表記、免遇之者擊之、○
Genesis,4,16,該隱離耶和華前、往伊甸東挪得地居焉、
Genesis,4,17,該隱與妻同室、懷姙生以諾、建城、卽以其子之名、稱爲以諾、
Genesis,4,18,以諾生以拿、以拿生米戶雅利、米戶雅利生瑪土撒利、瑪土撒利生拉麥、
Genesis,4,19,拉麥娶妻二、一名亞大、一名洗拉、
Genesis,4,20,亞大生雅八、爲居幕牧畜者祖、
Genesis,4,21,其弟猶八、爲鼓琴品簫者祖、
Genesis,4,22,洗拉生土八該隱、乃造銅鐵諸利器者祖、其妹名拿瑪、
Genesis,4,23,拉麥謂妻曰、亞大洗拉歟、其聞我聲、拉麥之婦歟、其聽我言、人害我、我殺之、少者傷我、我戮之、
Genesis,4,24,若殺該隱、受罰七倍、若殺拉麥、必受罰七十七倍、○
Genesis,4,25,亞當復與妻同室、生子命名塞特、曰、上帝爲我立一子、以代亞伯、因其爲該隱所殺也、
Genesis,4,26,塞特亦生子、命名以挪士、是時人始籲耶和華之名、
Genesis,5,1,亞當之裔、其譜如左、上帝造人、乃肖其象、
Genesis,5,2,造男造女、當造之日、錫之以嘏、稱之曰人、
Genesis,5,3,亞當百有三十歲生子、克肖乎己、命名塞特、
Genesis,5,4,後歷八百年、猶生子女、
Genesis,5,5,享壽九百三十歲而終、○
Genesis,5,6,塞特百有五歲、生以挪士、
Genesis,5,7,後歷八百有七年、猶生子女、
Genesis,5,8,享壽九百十有二歲而終、○
Genesis,5,9,以挪士九十歲生該南、
Genesis,5,10,後歷八百十五年、猶生子女、
Genesis,5,11,享壽九百有五歲而終、○
Genesis,5,12,該南七十歲生瑪勒列、
Genesis,5,13,後歷八百四十年、猶生子女、
Genesis,5,14,享壽九百有十歲而終、○
Genesis,5,15,瑪勒列六十五歲生雅列、
Genesis,5,16,後歷八百三十年、猶生子女、
Genesis,5,17,享壽八百九十五歲而終、○
Genesis,5,18,雅列百六十二歲生以諾、
Genesis,5,19,後歷八百年、猶生子女、
Genesis,5,20,享壽九百六十二歲而終、○
Genesis,5,21,以諾六十五歲生瑪土撒拉、
Genesis,5,22,後與上帝偕行、歷三百年、猶生子女、
Genesis,5,23,享壽三百六十五歲、
Genesis,5,24,以諾與上帝偕行、上帝接之、遂不在焉、○
Genesis,5,25,瑪土撒拉百八十七歲生拉麥、
Genesis,5,26,後歷七百八十二年、猶生子女、
