Book,Chapter,Verse,Text
Genesis,1,1,Alguses lõi Jumal taevad ja maa.
Genesis,1,2,Ja maa oli tühi ja paljas ja pimedus oli sügavuse peal ja Jumala Vaim hõljus vete kohal.
Genesis,1,3,"Ja Jumal ütles: „Saagu valgus!"" Ja valgus sai."
Genesis,1,4,"Ja Jumal nägi, et valgus oli hea, ja Jumal lahutas valguse pimedusest."
Genesis,1,5,"Ja Jumal nimetas valguse päevaks ja pimeduse ta nimetas ööks. Siis sai õhtu ja sai hommik, - esimene päev."
Genesis,1,6,"Ja Jumal ütles: „Saagu laotus vete vahele ja see lahutagu veed vetest!"""
Genesis,1,7,"Ja nõnda sündis: Jumal tegi laotuse ja lahutas veed, mis laotuse all, vetest, mis laotuse peal olid."
Genesis,1,8,"Ja Jumal nimetas laotuse taevaks. Siis sai õhtu ja sai hommik, - teine päev."
Genesis,1,9,"Ja Jumal ütles: „Veed kogunegu taeva all ühte paika, et kuiva näha oleks!"" Ja nõnda sündis."
Genesis,1,10,"Ja Jumal nimetas kuiva pinna maaks ja veekogu Ta nimetas mereks. Ja Jumal nägi, et see hea oli."
Genesis,1,11,"Ja Jumal ütles: „Maast tärgaku haljas rohi, seemet kandvad taimed, viljapuud, mille viljas nende seeme on, nende liikide järgi maa peale!"" Ja nõnda sündis:"
Genesis,1,12,"maa laskis võrsuda haljast rohtu, seemet kandvaid taimi nende liikide järgi, ja viljapuid, mille viljas nende seeme on, nende liikide järgi. Ja Jumal nägi, et see hea oli."
Genesis,1,13,"Siis sai õhtu ja sai hommik, - kolmas päev."
Genesis,1,14,"Ja Jumal ütles: „Saagu valgused taevalaotusse eraldama päeva ööst! Tähistagu need seatud aegu, päevi ja aastaid,"
Genesis,1,15,"olgu nad valgusteks taevalaotuses, valgustuseks maale!"" Ja nõnda sündis:"
Genesis,1,16,"Jumal tegi kaks suurt valgust: suurema valguse valitsema päeval ja väiksema valguse valitsema öösel, ning tähed."
Genesis,1,17,"Ja Jumal pani need taevalaotusse, et nad valgustaksid maad"
Genesis,1,18,"ja valitseksid päeval ja öösel ja eraldaksid valguse pimedusest. Ja Jumal nägi, et see hea oli."
Genesis,1,19,"Siis sai õhtu ja sai hommik, - neljas päev."
Genesis,1,20,"Ja Jumal ütles: „Vesi kihagu elavaist olendeist, ja maa peal lennaku linnud taevalaotuse poole!"""
Genesis,1,21,"Ja Jumal lõi suured mereloomad ja kõiksugu elavad olendid, kellest vesi kihab, nende liikide järgi, ja kõiksugu tiibadega linnud nende liikide järgi. Ja Jumal nägi, et see hea oli."
Genesis,1,22,"Ja Jumal õnnistas neid ja ütles: „Olge viljakad ja teid saagu palju, täitke mere vesi, ja lindusid saagu palju maa peale!"""
Genesis,1,23,"Siis sai õhtu ja sai hommik, - viies päev."
Genesis,1,24,"Ja Jumal ütles: „Maa toogu esile elavad olendid nende liikide järgi, lojused ja roomajad ja metselajad nende liikide järgi!"" Ja nõnda sündis:"
Genesis,1,25,"Jumal tegi metselajad nende liikide järgi, ja lojused nende liikide järgi, ja kõik roomajad maa peal nende liikide järgi. Ja Jumal nägi, et see hea oli."
Genesis,1,26,"Ja Jumal ütles: „Tehkem inimesed Oma näo järgi, meie sarnaseks, et nad valitseksid kalade üle meres, lindude üle taeva all, loomade üle ja kogu maa üle ja kõigi roomajate üle, kes maa peal roomavad!"","
Genesis,1,27,"Ja Jumal lõi inimese Oma näo järgi, Jumala näo järgi lõi Ta tema, Ta lõi tema meheks ja naiseks!"
Genesis,1,28,"Ja Jumal õnnistas neid, ja Jumal ütles neile: „Olge viljakad ja teid saagu palju, täitke maa ja alistage see enestele; ja valitsege kalade üle meres, lindude üle taeva all ja kõigi loomade üle, kes maa peal liiguvad!"""
Genesis,1,29,"Ja Jumal ütles: „Vaata, Mina annan teile kõik seemet kandvad taimed kogu maal, ja kõik puud, mis kannavad vilja, milles nende seeme on; need olgu teile roaks."
Genesis,1,30,"Ja kõigile loomadele maa peal ja kõikidele lindudele taeva all ja kõigile roomajaile maa peal, kelles on elav hing, annan Ma kõiksugu haljast rohtu toiduks!"" Ja nõnda sündis."
Genesis,1,31,"Ja Jumal vaatas kõike, mis Ta oli teinud, ja vaata, see oli väga hea! Siis sai õhtu ja sai hommik, - kuues päev."
Genesis,2,1,Nõnda on taevas ja maa ning kõik nende väed valmis saanud.
Genesis,2,2,"Ja Jumal lõpetas seitsmendal päeval Oma töö, mis Ta tegi, ja hingas seitsmendal päeval kõigist Oma tegudest, mis Ta oli teinud."
Genesis,2,3,"Ja Jumal õnnistas seitsmendat päeva ja pühitses seda, sest Ta oli siis hinganud kõigist Oma tegudest, mis Jumal luues oli teinud."
Genesis,2,4,"See on lugu taevaste ja maa sündimisest, kui need loodi. Sel ajal, kui Issand Jumal tegi maa ja taevad,"
Genesis,2,5,"kui ainustki väljapõõsast ei olnud veel maa peal ja ainustki väljarohtu ei olnud veel tärganud, sest Issand Jumal ei olnud lasknud vihma sadada maa peale, ja inimest ei olnud põldu harimas,"
Genesis,2,6,tõusis udu maast ja kastis kogu mullapinda.
Genesis,2,7,"Ja Issand Jumal valmistas inimese, kes põrm on, mullast, ja puhus tema ninasse elavat õhku: nõnda sai inimene elavaks hingeks."
Genesis,2,8,"Ja Issand Jumal istutas Eedeni rohuaia päevatõusu poole ja pani sinna inimese, kelle Ta oli valmistanud."
Genesis,2,9,"Ja Issand Jumal laskis maast tõusta kõiksugu puid, mis armsad olid pealtnäha ja millest hea oli süüa, ja elupuu keset aeda, ning hea ja kurja tundmise puu."
Genesis,2,10,"Ja Eedenist väljus jõgi rohuaeda kastma, sealtpeale jagunedes neljaks haruks:"
Genesis,2,11,"esimese nimi on Piison, see voolab ümber kogu Havilamaa, kus kulda on;"
Genesis,2,12,"selle maa kuld on hea, seal on bedolavaiku ja karneoolikive."
Genesis,2,13,"Ja teise jõe nimi on Giihon, see voolab ümber kogu Kuusimaa."
Genesis,2,14,"Ja kolmanda jõe nimi on Hiddekel, see voolab hommiku pool Assurit; ja neljas jõgi on Frat."
Genesis,2,15,Ja Issand Jumal võttis inimese ja pani ta Eedeni aeda harima ja hoidma.
