Book,Chapter,Verse,Text
Genesis,1,1,
Genesis,1,2,
Genesis,1,3,
Genesis,1,4,
Genesis,1,5,
Genesis,1,6,
Genesis,1,7,
Genesis,1,8,
Genesis,1,9,
Genesis,1,10,
Genesis,1,11,
Genesis,1,12,
Genesis,1,13,
Genesis,1,14,
Genesis,1,15,
Genesis,1,16,
Genesis,1,17,
Genesis,1,18,
Genesis,1,19,
Genesis,1,20,
Genesis,1,21,
Genesis,1,22,
Genesis,1,23,
Genesis,1,24,
Genesis,1,25,
Genesis,1,26,
Genesis,1,27,
Genesis,1,28,
Genesis,1,29,
Genesis,1,30,
Genesis,1,31,
Genesis,2,1,
Genesis,2,2,
Genesis,2,3,
Genesis,2,4,
Genesis,2,5,
Genesis,2,6,
Genesis,2,7,
Genesis,2,8,
Genesis,2,9,
Genesis,2,10,
Genesis,2,11,
Genesis,2,12,
Genesis,2,13,
Genesis,2,14,
Genesis,2,15,
Genesis,2,16,
Genesis,2,17,
Genesis,2,18,
Genesis,2,19,
Genesis,2,20,
Genesis,2,21,
Genesis,2,22,
Genesis,2,23,
Genesis,2,24,
Genesis,2,25,
Genesis,3,1,
Genesis,3,2,
Genesis,3,3,
Genesis,3,4,
Genesis,3,5,
Genesis,3,6,
Genesis,3,7,
Genesis,3,8,
Genesis,3,9,
Genesis,3,10,
Genesis,3,11,
Genesis,3,12,
Genesis,3,13,
Genesis,3,14,
Genesis,3,15,
Genesis,3,16,
Genesis,3,17,
Genesis,3,18,
Genesis,3,19,
Genesis,3,20,
Genesis,3,21,
Genesis,3,22,
Genesis,3,23,
Genesis,3,24,
Genesis,4,1,
Genesis,4,2,
Genesis,4,3,
Genesis,4,4,
Genesis,4,5,
Genesis,4,6,
Genesis,4,7,
Genesis,4,8,
Genesis,4,9,
Genesis,4,10,
Genesis,4,11,
Genesis,4,12,
Genesis,4,13,
Genesis,4,14,
Genesis,4,15,
Genesis,4,16,
Genesis,4,17,
Genesis,4,18,
Genesis,4,19,
Genesis,4,20,
Genesis,4,21,
Genesis,4,22,
Genesis,4,23,
Genesis,4,24,
Genesis,4,25,
Genesis,4,26,
Genesis,5,1,
Genesis,5,2,
Genesis,5,3,
Genesis,5,4,
Genesis,5,5,
Genesis,5,6,
Genesis,5,7,
Genesis,5,8,
Genesis,5,9,
Genesis,5,10,
Genesis,5,11,
Genesis,5,12,
Genesis,5,13,
Genesis,5,14,
Genesis,5,15,
Genesis,5,16,
Genesis,5,17,
Genesis,5,18,
Genesis,5,19,
Genesis,5,20,
Genesis,5,21,
Genesis,5,22,
Genesis,5,23,
Genesis,5,24,
Genesis,5,25,
Genesis,5,26,
Genesis,5,27,
Genesis,5,28,
Genesis,5,29,
Genesis,5,30,
Genesis,5,31,
Genesis,5,32,
Genesis,6,1,
Genesis,6,2,
Genesis,6,3,
Genesis,6,4,
Genesis,6,5,
Genesis,6,6,
Genesis,6,7,
Genesis,6,8,
Genesis,6,9,
Genesis,6,10,
Genesis,6,11,
Genesis,6,12,
Genesis,6,13,
Genesis,6,14,
Genesis,6,15,
Genesis,6,16,
Genesis,6,17,
Genesis,6,18,
Genesis,6,19,
Genesis,6,20,
Genesis,6,21,
Genesis,6,22,
Genesis,7,1,
Genesis,7,2,
Genesis,7,3,
Genesis,7,4,
Genesis,7,5,
Genesis,7,6,
Genesis,7,7,
Genesis,7,8,
Genesis,7,9,
Genesis,7,10,
Genesis,7,11,
Genesis,7,12,
Genesis,7,13,
Genesis,7,14,
Genesis,7,15,
Genesis,7,16,
Genesis,7,17,
Genesis,7,18,
Genesis,7,19,
Genesis,7,20,
Genesis,7,21,
Genesis,7,22,
Genesis,7,23,
Genesis,7,24,
Genesis,8,1,
