Book,Chapter,Verse,Text
Genesis,1,1, Im (nach/vor dem) Anfang von Gottes Schöpfung (Teilung?) von Himmel und Erde (der Welt) 
Genesis,1,2,"war die Erde (- die Erde war) nicht und nichts (leer, sinnlos, zerstört?, chaotisch?): (stattdessen) Dunkelheit [war] über der Oberfläche (dem Gesicht) der Tiefe (Urtiefe, Wasser) und ein Wind Gottes stürmte (der Atem Gottes wehte, ein starker Wind stürmte, der Geist Gottes schwebte) über der Oberfläche (dem Gesicht) des Wassers (der Wasser). "
Genesis,1,3,"Da sprach Gott: Helligkeit (Licht) soll (wird) entstehen (sein, werden)! Da entstand (war, wurde) Helligkeit (Licht). "
Genesis,1,4,"Gott sah, dass die Helligkeit (das Licht) gut war. Dann trennte (teilte, unterschied) Gott {zwischen} die Helligkeit (das Licht) {und} von (zwischen) der Finsternis (Dunkelheit). "
Genesis,1,5,"Gott nannte (rief) die Helligkeit (das Licht) „Tag“, die Finsternis (Dunkelheit) aber nannte (rief) er „Nacht“. Es wurde (war) Abend und es wurde Morgen: Ein „Tag“ (der erste Tag). "
Genesis,1,6,"Dann sprach Gott: Ein Schalenförmiges (Gewölbe, Firmament) soll (wird) inmitten des Wassers entstehen (sein, werden) und es soll ein Trenner zwischen Wasser und Wasser sein (es soll Wasser von Wasser trennen). [So geschah (war) es]. "
Genesis,1,7,"Gott machte das Schalenförmige (Gewölbe, Firmament) und trennte (teilte, schied) [so] {zwischen} das Wasser {welches} unterhalb des Schalenförmigen (Gewölbes, Firmaments) {und zwischen} [vom] Wasser {welches} über dem Schalenförmigen (Gewölbe, Firmament). {So geschah (war) es.} "
Genesis,1,8,"Gott nannte das Schalenförmige (Gewölbe, Firmament) „Himmel“. Es wurde (war) Abend und es wurde Morgen: Ein zweiter Tag. "
Genesis,1,9,"Dann sprach Gott: Das Wasser (die Wasser) soll sich von unter dem Himmel [weg] an (zu … hin) einen Ort sammeln (gesammelt werden) und Trockenes (das Festland) soll zum Vorschein kommen (erscheinen, sich zeigen). So geschah (war) es. "
Genesis,1,10,"Gott nannte (rief) das Trockene (das Festland) „Erde“ und den Ort des Wassers nannte (rief) er „Meer“. Gott sah, dass [es] gut [war]. "
Genesis,1,11,"Weiterhin sprach Gott: Die Erde soll auf Erden Grünes grünen lassen: Samen tragendes Getreide (Pflanzen) und  verschiedenste Arten von Frucht tragenden Fruchtbäumen, {die} [deren Früchte] ihren Samen in sich haben. So geschah es. "
Genesis,1,12,"Die Erde lies Grünes grünen: verschiedenste Arten von Samen tragendem Getreide und verschiedenste Arten von Frucht tragenden Fruchtbäumen, {die} [deren Früchte] ihren Samen in sich haben. Gott sah, dass es gut war (ist). "
Genesis,1,13,Es wurde (war) Abend und es wurde Morgen: Ein dritter Tag. 
Genesis,1,14,"Dann sprach Gott: Lichter sollen am Schalenförmigen (Gewölbe, Firmament) des Himmels (, das der Himmel ist) entstehen (sein), um (so dass) {zwischen} den Tag {und} von (zwischen) der Nacht zu trennen (teilen, scheiden). Sie sollen als Zeichen für (und als) Festzeiten (Jahreszeiten) und für (als) Tage und Jahre dienen (sein) "
