Book,Chapter,Verse,Text
Genesis,1,1,IN THE beginning G-d created the heaven and the earth. 
Genesis,1,2,"Now the earth was unformed and void, and darkness was upon the face of the deep; and the spirit of G-d hovered over the face of the waters. "
Genesis,1,3,And G-d said: 'Let there be light.' And there was light. 
Genesis,1,4,"And G-d saw the light, that it was good; and G-d divided the light from the darkness. "
Genesis,1,5,"And G-d called the light Day, and the darkness He called Night. And there was evening and there was morning, one day. "
Genesis,1,6,"And G-d said: 'Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.' "
Genesis,1,7,"And G-d made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament; and it was so. "
Genesis,1,8,"And G-d called the firmament Heaven. And there was evening and there was morning, a second day. "
Genesis,1,9,"And G-d said: 'Let the waters under the heaven be gathered together unto one place, and let the dry land appear.' And it was so. "
Genesis,1,10,"And G-d called the dry land Earth, and the gathering together of the waters called He Seas; and G-d saw that it was good. "
Genesis,1,11,"And G-d said: 'Let the earth put forth grass, herb yielding seed, and fruit-tree bearing fruit after its kind, wherein is the seed thereof, upon the earth.' And it was so. "
Genesis,1,12,"And the earth brought forth grass, herb yielding seed after its kind, and tree bearing fruit, wherein is the seed thereof, after its kind; and G-d saw that it was good. "
Genesis,1,13,"And there was evening and there was morning, a third day. "
Genesis,1,14,"And G-d said: 'Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years; "
Genesis,1,15,and let them be for lights in the firmament of the heaven to give light upon the earth.' And it was so. 
Genesis,1,16,"And G-d made the two great lights: the greater light to rule the day, and the lesser light to rule the night; and the stars. "
Genesis,1,17,"And G-d set them in the firmament of the heaven to give light upon the earth, "
Genesis,1,18,"and to rule over the day and over the night, and to divide the light from the darkness; and G-d saw that it was good. "
Genesis,1,19,"And there was evening and there was morning, a fourth day. "
Genesis,1,20,"And G-d said: 'Let the waters swarm with swarms of living creatures, and let fowl fly above the earth in the open firmament of heaven.' "
Genesis,1,21,"And G-d created the great sea-monsters, and every living creature that creepeth, wherewith the waters swarmed, after its kind, and every winged fowl after its kind; and G-d saw that it was good. "
Genesis,1,22,"And G-d blessed them, saying: 'Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.' "
Genesis,1,23,"And there was evening and there was morning, a fifth day. "
Genesis,1,24,"And G-d said: 'Let the earth bring forth the living creature after its kind, cattle, and creeping thing, and beast of the earth after its kind.' And it was so. "
Genesis,1,25,"And G-d made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind; and G-d saw that it was good. "
Genesis,1,26,"And G-d said: 'Let us make man in our image, after our likeness; and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.' "
Genesis,1,27,"And G-d created man in His own image, in the image of G-d created He him; male and female created He them. "
Genesis,1,28,"And G-d blessed them; and G-d said unto them: 'Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that creepeth upon the earth.' "
Genesis,1,29,"And G-d said: 'Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed--to you it shall be for food; "
Genesis,1,30,"and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is a living soul, I have given every green herb for food.' And it was so. "
Genesis,1,31,"And G-d saw every thing that He had made, and, behold, it was very good. And there was evening and there was morning, the sixth day. "
Genesis,2,1,"And the heaven and the earth were finished, and all the host of them. "
Genesis,2,2,And on the seventh day G-d finished His work which He had made; and He rested on the seventh day from all His work which He had made. 
Genesis,2,3,"And G-d blessed the seventh day, and hallowed it; because that in it He rested from all His work which G-d in creating had made. "
Genesis,2,4,"These are the generations of the heaven and of the earth when they were created, in the day that HaShem G-d made earth and heaven. "
Genesis,2,5,"No shrub of the field was yet in the earth, and no herb of the field had yet sprung up; for HaShem G-d had not caused it to rain upon the earth, and there was not a man to till the ground; "
Genesis,2,6,"but there went up a mist from the earth, and watered the whole face of the ground. "
Genesis,2,7,"Then HaShem G-d formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul. "
Genesis,2,8,"And HaShem G-d planted a garden eastward, in Eden; and there He put the man whom He had formed. "
Genesis,2,9,"And out of the ground made HaShem G-d to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil. "
Genesis,2,10,"And a river went out of Eden to water the garden; and from thence it was parted, and became four heads. "
Genesis,2,11,"The name of the first is Pishon; that is it which compasseth the whole land of Havilah, where there is gold; "
Genesis,2,12,and the gold of that land is good; there is bdellium and the onyx stone. 
Genesis,2,13,And the name of the second river is Gihon; the same is it that compasseth the whole land of Cush. 
Genesis,2,14,And the name of the third river is Tigris; that is it which goeth toward the east of Asshur. And the fourth river is the Euphrates. 
Genesis,2,15,"And HaShem G-d took the man, and put him into the garden of Eden to dress it and to keep it. "
Genesis,2,16,"And HaShem G-d commanded the man, saying: 'Of every tree of the garden thou mayest freely eat; "
Genesis,2,17,"but of the tree of the knowledge of good and evil, thou shalt not eat of it; for in the day that thou eatest thereof thou shalt surely die.' "
Genesis,2,18,And HaShem G-d said: 'It is not good that the man should be alone; I will make him a help meet for him.' 
Genesis,2,19,"And out of the ground HaShem G-d formed every beast of the field, and every fowl of the air; and brought them unto the man to see what he would call them; and whatsoever the man would call every living creature, that was to be the name thereof. "
Genesis,2,20,"And the man gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found a help meet for him. "
Genesis,2,21,"And HaShem G-d caused a deep sleep to fall upon the man, and he slept; and He took one of his ribs, and closed up the place with flesh instead thereof. "
Genesis,2,22,"And the rib, which HaShem G-d had taken from the man, made He a woman, and brought her unto the man. "
Genesis,2,23,"And the man said: 'This is now bone of my bones, and flesh of my flesh; she shall be called Woman, because she was taken out of Man.' "
Genesis,2,24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife, and they shall be one flesh. "
Genesis,2,25,"And they were both naked, the man and his wife, and were not ashamed.  "
Genesis,3,1,"Now the serpent was more subtle than any beast of the field which HaShem G-d had made. And he said unto the woman: 'Yea, hath G-d said: Ye shall not eat of any tree of the garden?' "
Genesis,3,2,And the woman said unto the serpent: 'Of the fruit of the trees of the garden we may eat; 
Genesis,3,3,"but of the fruit of the tree which is in the midst of the garden, G-d hath said: Ye shall not eat of it, neither shall ye touch it, lest ye die.' "
Genesis,3,4,And the serpent said unto the woman: 'Ye shall not surely die; 
Genesis,3,5,"for G-d doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as G-d, knowing good and evil.' "
Genesis,3,6,"And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat. "
Genesis,3,7,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig-leaves together, and made themselves girdles. "
Genesis,3,8,And they heard the voice of HaShem G-d walking in the garden toward the cool of the day; and the man and his wife hid themselves from the presence of HaShem G-d amongst the trees of the garden. 
Genesis,3,9,"And HaShem G-d called unto the man, and said unto him: 'Where art thou?' "
Genesis,3,10,"And he said: 'I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.' "
Genesis,3,11,"And He said: 'Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?' "
Genesis,3,12,"And the man said: 'The woman whom Thou gavest to be with me, she gave me of the tree, and I did eat.' "
Genesis,3,13,"And HaShem G-d said unto the woman: 'What is this thou hast done?' And the woman said: 'The serpent beguiled me, and I did eat.' "
Genesis,3,14,"And HaShem G-d said unto the serpent: 'Because thou hast done this, cursed art thou from among all cattle, and from among all beasts of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life. "
Genesis,3,15,"And I will put enmity between thee and the woman, and between thy seed and her seed; they shall bruise thy head, and thou shalt bruise their heel.' "
Genesis,3,16,"Unto the woman He said: 'I will greatly multiply thy pain and thy travail; in pain thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.' "
Genesis,3,17,"And unto Adam He said: 'Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying: Thou shalt not eat of it; cursed is the ground for thy sake; in toil shalt thou eat of it all the days of thy life. "
Genesis,3,18,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field. 
Genesis,3,19,"In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken; for dust thou art, and unto dust shalt thou return.' "
Genesis,3,20,And the man called his wife's name Eve; because she was the mother of all living. 
Genesis,3,21,"And HaShem G-d made for Adam and for his wife garments of skins, and clothed them. "
Genesis,3,22,"And HaShem G-d said: 'Behold, the man is become as one of us, to know good and evil; and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever.' "
Genesis,3,23,"Therefore HaShem G-d sent him forth from the garden of Eden, to till the ground from whence he was taken. "
Genesis,3,24,"So He drove out the man; and He placed at the east of the garden of Eden the cherubim, and the flaming sword which turned every way, to keep the way to the tree of life.  "
Genesis,4,1,"And the man knew Eve his wife; and she conceived and bore Cain, and said: 'I have gotten a man with the help of HaShem.' "
Genesis,4,2,"And again she bore his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground. "
Genesis,4,3,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto HaShem. "
Genesis,4,4,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And HaShem had respect unto Abel and to his offering; "
Genesis,4,5,"but unto Cain and to his offering He had not respect. And Cain was very wroth, and his countenance fell. "
Genesis,4,6,And HaShem said unto Cain: 'Why art thou wroth? and why is thy countenance fallen? 
Genesis,4,7,"If thou doest well, shall it not be lifted up? and if thou doest not well, sin coucheth at the door; and unto thee is its desire, but thou mayest rule over it.' "
Genesis,4,8,"And Cain spoke unto Abel his brother. And it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him. "
Genesis,4,9,And HaShem said unto Cain: 'Where is Abel thy brother?' And he said: 'I know not; am I my brother's keeper?' 
