Book,Chapter,Verse,Text
Genesis,1,1,Въ началј Богъ сотворилъ небеса и землю. 
Genesis,1,2,"Но земля была не образована и пуста, и тьма надъ бездною, и Духъ Божій носился надъ водами. "
Genesis,1,3,И сказалъ Богъ: да будетъ свјтъ; и сталъ свјтъ. 
Genesis,1,4,"Богъ увидјлъ, что свјтъ хорошъ; и отдјлилъ Богъ свјтъ отъ тьмы. "
Genesis,1,5,"И назвалъ Богъ свјтъ днемъ, а тьму назвалъ ночью. И былъ вечеръ, и было утро: день одинъ. "
Genesis,1,6,Потомъ Богъ сказалъ: да будетъ твердь посреди водъ; и да отдјляетъ она воды отъ водъ. 
Genesis,1,7,"И создалъ Богъ твердь; и отдјлилъ воды, которыя подъ твердію, отъ водъ, которыя надъ твердію: и стало такъ. "
Genesis,1,8,"И назвалъ Богъ твердь небомъ. И былъ вечеръ, и было утро: день вторый. "
Genesis,1,9,Потомъ Богъ сказалъ: да соберутся воды подъ небесами въ одно мјсто: и да явится суша: и стало такъ. 
Genesis,1,10,"И назвалъ Богъ сушу землею, а собраніе водъ назвалъ моремъ: и увидјлъ Богъ, что это хорошо. "
Genesis,1,11,"И сказалъ Богъ: да произраститъ земля зелень, траву, сјющую сјмя, дерева плодовитыя, приносящія по роду своему плодъ, въ которомъ сјмя ихъ на землј: и стало такъ. "
Genesis,1,12,"И произвела земля зелень, сјющую сјмя по роду ея, и дерева приносящія плодъ, въ которомъ сјмя ихъ по роду ихъ. И Богъ увидјлъ, что это хорошо. "
Genesis,1,13,И былъ вечеръ и было утро: день третій. 
Genesis,1,14,"Потомъ Богъ сказалъ: да будутъ свјтила на тверди небесной, для отдјленія дня отъ ночи, и для знаменій, и временъ, и дней и годовъ; "
Genesis,1,15,"и да будутъ они свјтильниками на тверди небесной, чтобы свјтить на землю: и стало такъ. "
Genesis,1,16,"И создалъ Богъ два свјтила великія: свјтило большое для управленія днемъ, и свјтило меньшое для управленія ночью, и звјзды: "
Genesis,1,17,"и поставилъ ихъ Богъ на тверди небесной, чтобы свјтили на землю. "
Genesis,1,18,"И чтобы управляли днемъ и ночью, и чтобы отдјляли свјтъ отъ тьмы. И Богъ увидјлъ, что это хорошо. "
Genesis,1,19,"И былъ вечеръ, и было утро: день четвертый. "
Genesis,1,20,"Потомъ Богъ сказалъ: да породятъ воды пресмыкающихся, души живыя; и птицы да полетятъ надъ землею по тверди небесной. "
Genesis,1,21,"И сотворилъ Богъ большія морскія чудовища, и всякія животныя, живыя пресмыкающіяся, которыя породили воды, по роду ихъ, и всјхъ птицъ пернатыхъ, по роду ихъ: и Богъ увидјлъ, что это хорошо. "
Genesis,1,22,"И благословилъ ихъ Богъ, говоря: плодитесь и размножайтесь и наполняйте воды въ моряхъ, и птицы да размножаются на землј. "
Genesis,1,23,И былъ вечеръ и было утро: день пятый. 
Genesis,1,24,"Потомъ Богъ сказалъ: да произведетъ земля животныя живыя по роду ихъ, скотъ и гадовъ, и звјрей земпыхъ по роду ихъ: и стало такъ. "
Genesis,1,25,"И создалъ Богъ звјрей земныхъ по роду ихъ, и скотъ по роду его, и всјхъ гадовъ земныхъ по роду ихъ: и увидјлъ Богъ, что это хорошо. "
Genesis,1,26,"И сказалъ Богъ: сотворимъ человјка по образу Нашему, по подобію Нашему; и да владычествуютъ они надъ рыбами морскими, н надъ птицами небесными, и падъ скотомъ, и надъ всею землею, и надъ всјми гадами, пресмыкающимися по землј. "
Genesis,1,27,"И сотворилъ Богъ человјка по образу Своему, по образу Божію сотворилъ его, мущину и женщину сотворилъ ихъ. "
Genesis,1,28,"И Богъ благословилъ ихъ, и сказалъ имъ Богъ: плодитесь и размножайтесь, и наполняйте землю, и обладайте ею, и владычествуйте надъ рыбами морскими, и надъ птицами небесными, и надъ всякимъ животнымъ пресмыкающимся по землј. "
Genesis,1,29,"И сказалъ Богъ: се, Я даю вамъ всякую траву сјющую сјмя, какая есть на всей землј, и всякое дерево, отъ котораго есть плодъ древесный, сјющій сјмя; вамъ сіе да будетъ въ пищу. "
Genesis,1,30,"И всјмъ звјрямъ земнымъ и всјмъ птицамъ небеснымъ и всякому пресмыкающемуся по землј, въ которомъ есть душа живая, даю Я всю зеленјющую траву въ пищу: и стало такъ. "
Genesis,1,31,"И увидјлъ Богъ все, что ни создалъ, и вотъ, весьма хорошо. И былъ вечеръ, и было утро: день шестый.  "
Genesis,2,1,Такимъ образомъ совершены небеса и земля и все воинство ихъ. 
Genesis,2,2,"И совершилъ Богъ днемъ седьмымъ дјло Свое, которое Онъ дјлалъ и почилъ въ день седьмый отъ всего дјла Своего, которое Онъ дјлалъ. "
Genesis,2,3,"И благословилъ Богъ день седьмый; и освятилъ его, ибо въ оный почилъ отъ всего дјла Своего, которое Богъ творилъ и дјлалъ. "
Genesis,2,4,"Сіи суть порожденія небесъ и земли, при сотвореніи ихъ, въ то время, когда Іегова Богъ создалъ землю и небеса. "
Genesis,2,5,"И всякой полевой кустарникъ, котораго до того не было на землј, и всякую полевую траву, которая до того не произростала; ибо Іегова Богъ не посылалъ дождя на землю, и не было человјка, для воздјланія поля. "
Genesis,2,6,"Только паръ поднимался съ земли, и орошалъ все лице земли. "
Genesis,2,7,"Іегова Богъ создалъ человјка изъ персти земной, и вдунулъ въ ноздри его дыханіе жизни, и человјкъ сталъ душею живою. "
Genesis,2,8,"И насадилъ Іегова Богъ садъ въ Едемј къ востоку: и поставилъ тамъ человјка, котораго создалъ. "
Genesis,2,9,"И произрастилъ Іегова Богъ изъ земли всякое дерево прекрасное видомъ, и хорошее для пищи и дерево жизни посреди сада, и дерево познанія добра и зла, "
Genesis,2,10,Изъ Едема выходила рјка для орошенія сада; и потомъ раздјлялась на четыре потока. 
Genesis,2,11,"Имя перваго Фисонъ; онъ обтекаетъ всю землю Хавила, гдј есть золото. "
Genesis,2,12,"И золото земли той наилучшее, тамъ также бдолахъ и камень ониксъ. "
Genesis,2,13,Имя второй рјкј Гихонъ: сія обтекаетъ всю землю Хушъ. 
Genesis,2,14,Имя третьей рјкј Хиддекель; сія протекаетъ противъ Ассиріи. Четвертая рјка есть Ефратъ. 
Genesis,2,15,"И взялъ Іегова Богъ человјка, и поставилъ его въ саду Едемскомъ, чтобы онъ воздјлывалъ его и хранилъ его. "
Genesis,2,16,"И заповјдалъ Іегова Богъ человјку, говоря: јшъ плоды со всякаго дерева въ семъ саду. "
Genesis,2,17,"А плодовъ древа познанія добра и зла не јшь; ибо въ день, въ который ты вкусишь ихъ, смертію умрешь. "
Genesis,2,18,И сказалъ Іегова Богъ: не хорошо быть человјку одному; сдјлаю ему помощь приличную ему. 
Genesis,2,19,"Ибо когда Іегова Богъ создалъ изъ земли всјхъ звјрей полевыхъ, и всјхъ птицъ небесныхъ, и привелъ къ человјку, чтобы онъ посмотрјлъ, какъ назвать ихъ, и чтобы, какъ наречетъ человјкъ всякую душу живую, такъ и было имя ей; "
Genesis,2,20,и когда нарекъ человікъ имена всему скоту и птицамъ небеснымъ и всјмъ звјрямъ полевымъ: тогда для человјка не нашлось помощи приличной ему. 
