Book,Chapter,Verse,Text
Genesis,1,1,V začetku je ustvaril Bog nebesa in zemljo. 
Genesis,1,2,"In zemlja je bila pusta in prazna, in tema je bila nad breznom, in Duh Božji je plaval nad vodami. "
Genesis,1,3,In reče Bog: Bodi svetloba! In bila je svetloba. 
Genesis,1,4,"In videl je Bog svetlobo, da je dobra; in ločil je Bog svetlobo od teme. "
Genesis,1,5,"In svetlobo je Bog imenoval dan, a temo je imenoval noč. In bil je večer, in bilo je jutro, dan prvi. "
Genesis,1,6,"In reče Bog: Bodi raztežje med vodami, da bo ločilo vode te in one. "
Genesis,1,7,"Naredi torej Bog raztežje in loči vode, ki so pod raztežjem, od vod, ki so nad raztežjem. In zgodilo se je tako. "
Genesis,1,8,"Raztežje to pa je imenoval Bog nebo. In bil je večer, in bilo je jutro, dan drugi. "
Genesis,1,9,"In reče Bog: Zberó se naj vode, ki so pod nebom, v en kraj, in prikaži se sušina. In zgodilo se je tako. "
Genesis,1,10,"In sušino je imenoval Bog zemljo, a stoke vodá je imenoval morja. In videl je Bog, da je dobro. "
Genesis,1,11,"Še reče Bog: Zemlja poženi travo, zelenjavo, ki rodi seme, rodovitno drevje, ki daje sadje po svojem plemenu, katerega seme bodi v njem na zemlji! In zgodilo se je tako. "
Genesis,1,12,"In pognala je zemlja travo, zelenjavo, ki rodeva seme po svojem plemenu, in drevje, ki daje sadje, katerega seme je v njem, po njegovem plemenu. In videl je Bog, da je dobro. "
Genesis,1,13,"In bil je večer, in bilo je jutro, dan tretji. "
Genesis,1,14,"Nato reče Bog: Bodo naj luči na raztežju nebeškem, da ločijo dan in noč, in naj bodo za znamenja ter določujejo čase, dneve in leta, "
Genesis,1,15,"in bodo naj za luči na raztežju nebeškem, da svetijo na zemljo! In zgodilo se je tako. "
Genesis,1,16,"In naredil je Bog tisti dve veliki luči: luč večjo, da gospoduje dnevu, in luč manjšo, da gospoduje noči, in zvezde. "
Genesis,1,17,"In Bog jih je postavil na raztežje nebeško, da svetijo na zemljo "
Genesis,1,18,"ter da gospodujejo dnevu in noči in da ločijo svetlobo od teme. In videl je Bog, da je dobro. "
Genesis,1,19,"In bil je večer, in bilo je jutro, dan četrti. "
Genesis,1,20,"In reče Bog: Obilo naj rodé vode gibkih stvari, živečih, in ptice naj letajo nad zemljo proti raztežju nebeškemu. "
Genesis,1,21,"In ustvaril je Bog velike morske živali in vse žive stvari, ki se gibljejo, ki so jih obilo rodile vode, po njih plemenih, in vse ptice krilate po njih plemenih. In videl je Bog, da je dobro. "
Genesis,1,22,"In blagoslovi jih Bog, govoreč: Plodite in množite se ter napolnite vode po morjih, in ptice naj se množe po zemlji. "
Genesis,1,23,"In bil je večer, in bilo je jutro, dan peti. "
Genesis,1,24,"In reče Bog: Rodi naj zemlja žive stvari po njih plemenih, živino in laznino in zveri zemeljske po njih plemenih! In zgodilo se je tako. "
Genesis,1,25,"In naredil je Bog zveri zemeljske po njih plemenih in živino po njenih plemenih in vso laznino zemeljsko po njenih vrstah. In videl je Bog, da je dobro. "
Genesis,1,26,"In reče Bog: Naredimo človeka po svoji podobi, ki nam bodi sličen, in gospodujejo naj ribam morskim in pticam nebeškim in živini in vesoljni zemlji ter vsej laznini, lazeči po zemlji. "
Genesis,1,27,"In ustvaril je Bog človeka po svoji podobi, po Božji podobi ga je ustvaril: moža in ženo ju je ustvaril. "
Genesis,1,28,"In blagoslovi ju Bog, in reče jima Bog: Plodita in množita se in napolnita zemljo ter podvrzita si jo, in gospodujta ribam morskim in pticam nebeškim in vsem zverem, lazečim po zemlji. "
Genesis,1,29,"In reče Bog: Glejta, dal sem vama vso zelenjavo, ki rodeva seme, katera je na površju vse zemlje, in vse drevje, na katerem je sad drevesni, ki rodeva seme: bodi vama v hrano. "
Genesis,1,30,"Vsem živalim pa na zemlji in vsem pticam pod nebom in vsemu, kar lazi po zemlji, v katerih je duša živa, sem dal vso zelenjavo zeleno v hrano. In zgodilo se je tako. "
Genesis,1,31,"Tedaj pogleda Bog vse, kar je bil storil, in glej, dobro je bilo jako. In bil je večer, in bilo je jutro, dan šesti.  "
Genesis,2,1,In tako so bila dodelana nebesa in zemlja in vsa njih vojska. 
Genesis,2,2,"In dodelal je Bog sedmi dan delo svoje, katero je bil storil, in počival je sedmi dan od vsega dela svojega, ki ga je bil storil. "
Genesis,2,3,"In blagoslovil je Bog sedmi dan in ga posvetil, ker je ta dan počival od vsega dela svojega, ki ga je bil Bog ustvaril in storil. "
Genesis,2,4,"To so početki nebes in zemlje, ko so bila ustvarjena, ob času, ko je Gospod Bog naredil zemljo in nebo; "
Genesis,2,5,"in ni bilo še nobenega bilja poljskega na zemlji, in vsa zelenjava poljska še ni bila pognala; ker ni bil Gospod Bog poslal dežja na zemljo, in ni bilo človeka, ki bi obdeloval zemljo; "
Genesis,2,6,a sopar je vzhajal iz zemlje in namakal vse površje zemlje. 
Genesis,2,7,"Tedaj upodobi Gospod Bog človeka iz prahu zemeljskega in vdahne v nosnice njegove dih življenja, in tako je postal človek živa duša. "
Genesis,2,8,"Zasadi pa Gospod Bog vrt v Edenu proti jutru in postavi vanj človeka, ki ga je bil upodobil. "
Genesis,2,9,"In stori Bog, da je pognalo iz tiste zemlje vsaktero drevje, prijetno očesu in dobro v jed, tudi drevo življenja sredi vrta in drevo spoznanja dobrega in hudega. "
Genesis,2,10,"In reka je tekla iz Edena močit ta vrt, in odtod se je delila in izlivala v štiri glavne reke: "
Genesis,2,11,"Prvi je ime Pison, ta, ki obteka vso pokrajino Havilsko, kjer je zlato; "
Genesis,2,12,in zlato tiste pokrajine je izvrstno; tam je bdelij in kamen oniks. 
Genesis,2,13,"In ime drugi reki je Gihon, ta, ki obteka vso pokrajino Kuševo. "
Genesis,2,14,"In ime tretji reki Hidekel, ta, ki teče v ospredju Asirije. Reka četrta pa je Evfrat. "
Genesis,2,15,"Vzame torej Gospod Bog človeka ter ga postavi na vrt Edenski, da bi ga obdeloval in ga varoval. "
Genesis,2,16,"In Gospod Bog zapove človeku, rekoč: Od vsega drevja s tega vrta prosto jej; "
Genesis,2,17,"a od drevesa spoznanja dobrega in hudega, od tega ne jej: zakaj tisti dan, ko bodeš jedel od njega, gotovo zapadeš smrti! "
Genesis,2,18,Reče pa Gospod Bog: Ni dobro biti človeku samemu; naredim mu pomoč njegove vrste. 
Genesis,2,19,"Kajti Gospod Bog je bil upodobil iz prsti vse živali na polju in vse ptice pod nebom ter jih privedel k Adamu, da bi videl, kako bode imenoval posamezne; in s katerimkoli imenom bi jih klical Adam, vsaktero živo bitje, tako mu bodi ime. "
Genesis,2,20,In Adam je imenoval z imeni vse živali in ptice pod nebom in vse zveri na polju; a za Adama ni se našla pomoč njegove vrste. 
Genesis,2,21,"In Gospod Bog pošlje trdno spanje Adamu, in zaspi; in vzame mu eno izmed reber njegovih in vtakne meso na mesto njegovo. "
Genesis,2,22,"In Gospod Bog stvori iz tistega rebra, ki ga je vzel Adamu, ženo, in jo privede k Adamu. "
Genesis,2,23,"Tedaj reče Adam: To je sedaj kost iz mojih kosti in meso iz mojega mesa; ta se bode imenovala Možinja, zato ker je vzeta iz moža. "
Genesis,2,24,Zato zapusti mož očeta svojega in mater svojo in držal se bo žene svoje in bodeta v eno meso. 
Genesis,2,25,"Bila sta pa oba naga, Adam in žena njegova, a ni ju bilo sram.  "
Genesis,3,1,"Kača je pa bila prekanjena, bolj nego katerabodi poljskih živali, ki jih je naredil Gospod Bog. Ona reče ženi: Ali vama je res rekel Bog, da ne jejta od vsakega drevesa s tega vrta? "
Genesis,3,2,In žena odgovori kači: Od sadu drevja s tega vrta uživava; 
Genesis,3,3,"ali za sad tistega drevesa, ki je sredi vrta, je rekel Bog: Ne jejta od njega, tudi se ga ne doteknita, da ne umreta. "
Genesis,3,4,Kača pa reče ženi: Nikakor ne umrjeta. 
Genesis,3,5,"Bog namreč ve, da tisti dan, ko bosta jedla od njega, se vama odpro oči, in bodeta kakor Bog ter bosta spoznala dobro in hudo. "
Genesis,3,6,"In žena je videla, da je dobro tisto drevo za jed in da je veselje očem in da je zaželeti to drevo, ker dodeli spoznanje; vzela je torej od sadu njegovega ter jedla; in dala je tudi možu svojemu, ki je bil ž njo, in jedel je. "
