Book,Chapter,Verse,Text
Genesis,1,1, I begynnelsen skapade Gud Himmel och Jord. 
Genesis,1,2,"Och jorden war öde och tom, och mörker war på djupet, och Guds Ande swäfde öfwer watnet."
Genesis,1,3,"Och Gud sade: Warde Ljus, och det wardt Ljus."
Genesis,1,4,"Och Gud såg ljuset, at det war godt. Då skilde Gud ljuset ifrå mörkret."
Genesis,1,5,Och kallade ljuset Dag och mörkret Natt. Och wardt af afton och morgon den första dagen.
Genesis,1,6,"Och Gud sade: Warde et Fäste emellan watnen, och åtskilje watn ifrå watn."
Genesis,1,7,"Och Gud gjorde fästet, och åtskilde det watnet, som war under fästet, ifrå det watn, som war ofwan fästet. Och det skedde så."
Genesis,1,8,Och Gud kallade fästet Himmel. Och wardt af afton och morgon den andra dagen.
Genesis,1,9,"Och Gud sade: Församle sig watnet, som är under himmelen, uti besynnerliga rum, att det torra må synas. Och det skedde så."
Genesis,1,10,"Och Gud kallade det torra Jord, och watnens församlingar kallade han Haf. Och Gud såg, at det war godt."
Genesis,1,11,"Och Gud sade: Bäre jorden gräs och örter, som frö hafwa, och fruktsam trä, at hwart och et bär frukt efter sin art, och hafwer sitt eget frö i sig sjelfwo på jordene. Och det skedde så."
Genesis,1,12,"Och jorden bar gräs och örter, som frö hade, hwart efter sin art, och trä, som frukt båro, och hade sitt eget frö i sig sjelfwo, hwart efter sin art. Och Gud såg, att det war godt."
Genesis,1,13,Och wardt af afton och morgon den tredje dagen.
Genesis,1,14,"Och Gud sade: Warde Ljus uti himmelens fäste, och åtskilje dag och natt, och gifwe tekn, månader, dagar och år."
Genesis,1,15,"Och ware för ljus uti himmelens fäste, och lyse på jordene. Och det skedde så."
Genesis,1,16,"Och Gud gjorde tu stor ljus; et stort ljus, som regerade dagen, och et litet ljus, som regerade nattena; och stjernor."
Genesis,1,17,"Och Gud satte dem uti himmelens fäste, at de skina skulle på jordene:"
Genesis,1,18,"Och regera dagen och nattena, och åtskilja ljuset och mörkret. Och Gud såg, at det war godt."
Genesis,1,19,Och wardt af afton och morgon den fjerde dagen.
Genesis,1,20,"Och Gud sade: Göre watnet af sig kräkande och lefwande djur, och foglar, som på jordene flyga under himmelens fäste."
Genesis,1,21,"Och Gud skapade stora hwalar, och allahanda lefwande och kräkande djur, som watnet af sig gör, hwart efter sin art, och allahanda fjäderfoglar, hwart efter sin art. Och Gud såg, at det war godt."
Genesis,1,22,"Och wälsignade dem, och sade: Warer fruktsame, och förökens, och upfyller hafsens watn, och foglarna föröke sig på jordene."
Genesis,1,23,Och wardt af afton och morgon den femte dagen.
Genesis,1,24,"Och Gud sade: Göre jorden af sig lefwande djur, hwart efter sin art, fänad, kräkande djur, och wilddjur på jordene, hwart efter sin art. Och det skedde så."
Genesis,1,25,"Och Gud gjorde wilddjur på jordene, hwart efter sin art, fänad efter sin art, allahanda kräkande djur på jordene efter sin art. Och Gud såg, at det war godt."
Genesis,1,26,"Och Gud sade: Låt oss göra Menniskona til et beläte, det oss likt är, den råda skall öfwer fiskarna i hafwet, och öfwer foglarna under himmelen, och öfwer fänaden, och öfwer hela jordena, och öfwer allt som kräker på jordene."
Genesis,1,27,"Och Gud skapade menniskona sig till et beläte, til Guds beläte skapade han honom, Man och Qwinno skapade han dem."
Genesis,1,28,"Och Gud wälsignade dem, och sade til dem: Warer fruktsame, och föröker eder, och upfyller jordena, och hafwer henne under eder, och råder öfwer fiskarna i hafwet, och öfwer foglarna under himmelen, och öfwer all djur, som kräla på jordene."
Genesis,1,29,"Och Gud sade: Si, jag hafwer gifwit eder allahanda örter, som frö hafwa på hela jordene, och allahanda fruktsam trä, och trä, som frö hafwa i sig sjelfwo, eder til mat."
Genesis,1,30,"Och allom djurom på jordene, och allom foglom under himmelen, och allo thy, som kräker på jordene, och lif hafwer, at de skola hafwa allahanda gröna örter til at äta. Och det skedde så."
