Book,Chapter,Verse,Text
Genesis,1,1,In the begynnynge God created heaven and erth.
Genesis,1,2,The erth was voyde and emptie ad darcknesse was vpon the depe and the spirite of god moved vpon the water
Genesis,1,3,Than God sayd: let there be lyghte and there was lyghte.
Genesis,1,4,And God sawe the lyghte that it was good: and devyded the lyghte from the darcknesse
Genesis,1,5,and called the lyghte daye and the darcknesse nyghte: and so of the evenynge and mornynge was made the fyrst daye
Genesis,1,6,And God sayd: let there be a fyrmament betwene the waters ad let it devyde the waters a sonder.
Genesis,1,7,Than God made the fyrmament and parted the waters which were vnder the fyrmament from the waters that were above the fyrmament: And it was so.
Genesis,1,8,And God called the fyrmament heaven And so of the evenynge and morninge was made the seconde daye
Genesis,1,9,And God sayd let the waters that are vnder heaven gather them selves vnto one place that the drye londe may appere: And it came so to passe.
Genesis,1,10,And god called the drye lande the erth and the gatheringe togyther of waters called he the see. And God sawe that it was good
Genesis,1,11,And God sayd: let the erth bringe forth herbe and grasse that sowe seed and frutefull trees that bere frute every one in his kynde havynge their seed in them selves vpon the erth. And it came so to passe:
Genesis,1,12,ad the erth brought forth herbe and grasse sowenge seed every one in his kynde and trees berynge frute and havynge their seed in the selves every one in his kynde. And God sawe that it was good:
Genesis,1,13,and the of the evenynge and mornynge was made the thyrde daye.
Genesis,1,14,Than sayd God: let there be lyghtes in ye firmament of heaven to devyde the daye fro the nyghte that they may be vnto sygnes seasons days and yeares.
Genesis,1,15,And let them be lyghtes in the fyrmament of heave to shyne vpon the erth. and so it was.
Genesis,1,16,And God made two great lyghtes A greater lyghte to rule the daye and a lesse lyghte to rule the nyghte and he made sterres also.
Genesis,1,17,And God put them in the fyrmament of heaven to shyne vpon the erth
Genesis,1,18,and to rule the daye and the nyghte ad to devyde the lyghte from darcknesse. And god sawe yt it was good:
Genesis,1,19,and so of the evenynge ad mornynge was made the fourth daye.
Genesis,1,20,And God sayd let the water bryng forth creatures that move and have lyfe and foules for to flee over the erth vnder the fyrmament of heaven.
Genesis,1,21,And God created greate whalles and all maner of creatures that lyve and moue which the waters brought forth in their kindes ad all maner of federed foules in their kyndes. And God sawe that it was good:
Genesis,1,22,and God blessed them saynge. Growe and multiplye ad fyll the waters of the sees and let the foules multiplye vpo the erth.
Genesis,1,23,And so of the evenynge and morninge was made the fyfth daye.
Genesis,1,24,And God sayd: leth the erth bring forth lyvynge creatures in thir kyndes: catell and wormes and beastes of the erth in their kyndes and so it came to passe.
Genesis,1,25,And god made the beastes of the erth in their kyndes and catell in their kyndes ad all maner wormes of the erth in their kyndes: and God sawe that it was good.
Genesis,1,26,And God sayd: let vs make man in oure symilitude ad after oure lycknesse: that he may have rule over the fysh of the see and over the foules of the ayre and over catell and over all the erth and over all wormes that crepe on the erth.
Genesis,1,27,And God created man after hys lycknesse after the lycknesse of god created he him: male and female created he them.
Genesis,1,28,And God blessed them and God sayd vnto them. Growe and multiplye and fyll the erth and subdue it and have domynyon over the fysh of the see and over the foules of the ayre and over all the beastes that move on the erth.
Genesis,1,29,And God sayd: se I have geven yow all herbes that sowe seed which are on all the erth and all maner trees that haue frute in them and sowe seed: to be meate for yow
Genesis,1,30,and for all beastes of the erth and vnto all foules of the ayre and vnto all that crepeth on the erth where in is lyfe that they may haue all maner herbes and grasse for to eate and even so it was.
Genesis,1,31,And God behelde al that he had made ad loo they were exceadynge good: and so of the evenynge and mornynge was made the syxth daye
Genesis,2,1,Thus was heave and erth fynished wyth all their apparell:
Genesis,2,2,ad i ye seueth daye god ended hys worke which he had made and rested in ye seventh daye fro all his workes which he had made.
Genesis,2,3,And God blessed ye seventh daye and sanctyfyed it for in it he rested from all his workes which he had created and made.
Genesis,2,4,These are the generations of heaven and erth when they were created in the tyme when the LORde God created heaven and erth
Genesis,2,5,and all the shrubbes of the felde be fore they were in the erthe. And all the herbes of the felde before they sprange: for the LORde God had yet sent no rayne vpon the erth nether was there yet any man to tylle the erth.
Genesis,2,6,But there arose a myste out of the ground and watered all the face of the erth:
Genesis,2,7,Then the LORde God shope man even of the moulde of the erth and brethed into his face the breth of lyfe. So man was made a lyvynge soule.
Genesis,2,8,The LORde God also planted a garden in Eden from the begynnynge and there he sette man whom he had formed.
Genesis,2,9,And the LORde God made to sprynge out of the erth all maner trees bewtyfull to the syghte and pleasant to eate and the tree of lyfe in the middes of the garden: and also the tree of knowlege of good and euell.
Genesis,2,10,And there spronge a rever out of Eden to water the garden and thence devided it selfe and grewe in to foure principall waters.
Genesis,2,11,The name of the one is Phison he it is that compasseth all the lande of heuila where gold groweth.
Genesis,2,12,And the gold of that contre ys precious there is found bedellion and a stone called Onix.
Genesis,2,13,The name of the seconde ryver is Gihon which compassyth all the lande of Inde.
Genesis,2,14,And the name of the thyrde river is Hidekell which runneth on the easte syde of the assyryans And the fourth river is Euphrates.
Genesis,2,15,And the LORde God toke Adam and put him in the garden of Eden to dresse it and to kepe it:
