Book,Chapter,Verse,Text
Genesis,1,1,"    Ma tagna'anna to'ongan, Tuhan ya bay amapanjari dunya maka langit."
Genesis,1,2,"Na, ma waktu kapamapanjari, in dunya halam gi' aniya' pangluwahanna maka halam gi' aniya' ai-aina. Aheya kal'ddoman ma sakalibutna maka alimun e' bohe' tegob-tegoban. Ina'an isab Rū Tuhan magpehē'-pi'itu min diyata' bohe' inān.  "
Genesis,1,3,"  Na angallam Tuhan, yukna, “Subay aniya' sawa.” Magtūy paniya' sawa."
Genesis,1,4,"Pag'nda' Tuhan ma sawa inān, kasulutan iya. Puwas e' pinasaddī e'na sawa maka l'ddom."
Genesis,1,5,"Ya pangōnna ma sawa ‘llaw’, ati ya pangōnna ma l'ddom ‘sangom’. Puwas pa'in sangom bo' llaw na, ya na tagna'an llaw.  "
Genesis,1,6,"  Puwas e' angallam Tuhan pabīng, yukna, “Subay aniya' pagtonga'an ma llot bohe' min deyo' maka bohe' min diyata'.” Magtūy paniya'."
Genesis,1,7,"  Puwas e' angallam Tuhan pabīng, yukna, “Subay aniya' pagtonga'an ma llot bohe' min deyo' maka bohe' min diyata'.” Magtūy paniya'."
Genesis,1,8,"Na, ya pangōn Tuhan ma pagtonga'an e' ‘langit’. Puwas pa'in sangom bo' llaw, llaw karuwana na.  "
Genesis,1,9,"  Angallam na isab Tuhan, yukna, “Ya bohe' ma deyo'an langit subay pinagtimuk ma dakayu' pat'nna'an supaya aniya' tana' atoho'.” Magtūy paniya'."
Genesis,1,10,"‘Tana'’ ya pangōn Tuhan ma gintana'an, ati ‘tahik’ ya pangōnna ma bohe' pinagtimuk e'. Pag'nda' Tuhan ma hinangna inān, kasulutan iya.  "
Genesis,1,11,"  Manjari itu, angallam na Tuhan, yukna, “Subay patomo' ai-ai ma tana' itu, kaginisan tinanom magbibinhi' maka kaginisan kayu magbubuwa', ya taga-binhi' isab.” Magtūy aniya' paltomo'-tomo'an indaginis ma gintana'an,"
